--------- beginning of main
07-21 20:03:48.029 15386 15386 I chatty  : uid=10247(com.smartvision.svplayer) expire 1 line
07-21 20:03:48.306 15386 15393 I chatty  : uid=10247(com.smartvision.svplayer) Jit thread pool expire 3 lines
07-21 20:03:48.416 15386 15403 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 1 line
07-21 20:03:48.778 15386 15393 I chatty  : uid=10247(com.smartvision.svplayer) Jit thread pool expire 1 line
07-21 20:03:49.127 15386 15386 I chatty  : uid=10247(com.smartvision.svplayer) expire 1 line
07-21 20:03:49.814 15386 15403 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 1 line
07-21 20:03:50.009 15386 15393 I chatty  : uid=10247(com.smartvision.svplayer) Jit thread pool expire 2 lines
07-21 20:03:51.022 15386 15403 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-21 20:04:07.268 15386 15403 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 11 lines
07-21 20:04:26.174 15386 15403 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 6 lines
07-21 20:04:33.928 15386 15386 I chatty  : uid=10247(com.smartvision.svplayer) expire 1 line
07-21 20:04:34.278 15386 15393 I chatty  : uid=10247(com.smartvision.svplayer) Jit thread pool expire 4 lines
07-21 20:04:35.392 15386 15403 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 4 lines
07-21 20:04:36.221 15386 15386 I chatty  : uid=10247(com.smartvision.svplayer) expire 1 line
07-21 20:04:37.844 15386 15393 I chatty  : uid=10247(com.smartvision.svplayer) Jit thread pool expire 2 lines
07-21 20:04:38.319 15386 15403 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-21 20:04:54.224 15386 15403 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 3 lines
07-21 20:06:09.278 15386 15403 I vision.svplaye: Background concurrent copying GC freed 209973(6MB) AllocSpace objects, 0(0B) LOS objects, 19% free, 24MB/30MB, paused 159us total 261.387ms
07-21 20:06:10.915 15386 15403 I vision.svplaye: Background concurrent copying GC freed 211611(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 161us total 256.211ms
07-21 20:06:12.546 15386 15403 I vision.svplaye: Background concurrent copying GC freed 207593(6MB) AllocSpace objects, 0(0B) LOS objects, 19% free, 24MB/30MB, paused 163us total 267.246ms
07-21 20:06:14.197 15386 15403 I vision.svplaye: Background concurrent copying GC freed 210001(6MB) AllocSpace objects, 0(0B) LOS objects, 19% free, 24MB/30MB, paused 160us total 267.381ms
07-21 20:06:15.812 15386 15415 I vision.svplaye: Waiting for a blocking GC ProfileSaver
07-21 20:06:15.853 15386 15403 I vision.svplaye: Background concurrent copying GC freed 211323(6MB) AllocSpace objects, 0(0B) LOS objects, 19% free, 24MB/30MB, paused 201us total 270.572ms
07-21 20:06:15.854 15386 15415 I vision.svplaye: WaitForGcToComplete blocked ProfileSaver on HeapTrim for 41.475ms
07-21 20:06:17.477 15386 15403 I vision.svplaye: Background concurrent copying GC freed 210037(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 175us total 266.833ms
07-21 20:06:19.104 15386 15403 I vision.svplaye: Background concurrent copying GC freed 207623(6MB) AllocSpace objects, 0(0B) LOS objects, 19% free, 24MB/30MB, paused 162us total 268.688ms
07-21 20:06:20.754 15386 15403 I vision.svplaye: Background concurrent copying GC freed 209666(6MB) AllocSpace objects, 0(0B) LOS objects, 19% free, 24MB/30MB, paused 159us total 269.718ms
07-21 20:06:22.407 15386 15403 I vision.svplaye: Background concurrent copying GC freed 212175(6MB) AllocSpace objects, 0(0B) LOS objects, 19% free, 24MB/30MB, paused 166us total 269.338ms
07-21 20:06:24.058 15386 15403 I vision.svplaye: Background concurrent copying GC freed 211813(6MB) AllocSpace objects, 0(0B) LOS objects, 19% free, 24MB/30MB, paused 170us total 268.176ms
07-21 20:06:25.702 15386 15403 I vision.svplaye: Background concurrent copying GC freed 210435(6MB) AllocSpace objects, 0(0B) LOS objects, 19% free, 24MB/30MB, paused 203us total 260.807ms
07-21 20:06:27.350 15386 15403 I vision.svplaye: Background concurrent copying GC freed 211603(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 162us total 258.777ms
07-21 20:06:28.976 15386 15403 I vision.svplaye: Background concurrent copying GC freed 210245(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 172us total 253.432ms
07-21 20:06:30.602 15386 15403 I vision.svplaye: Background concurrent copying GC freed 207285(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 165us total 254.782ms
07-21 20:06:32.228 15386 15403 I vision.svplaye: Background concurrent copying GC freed 207227(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 183us total 254.280ms
07-21 20:06:33.870 15386 15403 I vision.svplaye: Background concurrent copying GC freed 208230(6MB) AllocSpace objects, 0(0B) LOS objects, 19% free, 24MB/30MB, paused 243us total 269.559ms
07-21 20:06:35.504 15386 15403 I vision.svplaye: Background concurrent copying GC freed 211327(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 160us total 252.130ms
07-21 20:06:37.141 15386 15403 I vision.svplaye: Background concurrent copying GC freed 209449(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 155us total 261.115ms
07-21 20:06:38.783 15386 15403 I vision.svplaye: Background concurrent copying GC freed 209973(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 156us total 261.052ms
07-21 20:06:40.438 15386 15403 I vision.svplaye: Background concurrent copying GC freed 210323(6MB) AllocSpace objects, 0(0B) LOS objects, 19% free, 24MB/30MB, paused 245us total 274.442ms
07-21 20:06:42.081 15386 15403 I vision.svplaye: Background concurrent copying GC freed 211397(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 138us total 270.266ms
07-21 20:06:43.731 15386 15403 I vision.svplaye: Background concurrent copying GC freed 210155(6MB) AllocSpace objects, 0(0B) LOS objects, 19% free, 24MB/30MB, paused 170us total 271.228ms
07-21 20:06:45.371 15386 15403 I vision.svplaye: Background concurrent copying GC freed 211374(6MB) AllocSpace objects, 0(0B) LOS objects, 19% free, 24MB/30MB, paused 150us total 258.243ms
07-21 20:06:47.014 15386 15403 I vision.svplaye: Background concurrent copying GC freed 210865(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 171us total 251.428ms
07-21 20:06:48.645 15386 15403 I vision.svplaye: Background concurrent copying GC freed 209338(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 180us total 253.866ms
07-21 20:06:50.307 15386 15403 I vision.svplaye: Background concurrent copying GC freed 207256(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 247us total 291.497ms
07-21 20:06:52.008 15386 15403 I vision.svplaye: Background concurrent copying GC freed 207444(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 183us total 272.127ms
