07-21 20:00:49.541 15386 15403 I vision.svplaye: Background concurrent copying GC freed 200351(6MB) AllocSpace objects, 0(0B) LOS objects, 40% free, 8MB/14MB, paused 161us total 136.039ms
07-21 20:00:49.582 15386 15396 W MediaPlayer-JNI: MediaPlayer finalized without being released
07-21 20:00:51.415 15386 15403 I vision.svplaye: Background concurrent copying GC freed 191319(5MB) AllocSpace objects, 0(0B) LOS objects, 40% free, 8MB/14MB, paused 168us total 130.064ms
07-21 20:00:53.233 15386 15403 I vision.svplaye: Background concurrent copying GC freed 194420(5MB) AllocSpace objects, 0(0B) LOS objects, 40% free, 8MB/14MB, paused 172us total 129.292ms
07-21 20:00:55.046 15386 15403 I vision.svplaye: Background concurrent copying GC freed 195714(6MB) AllocSpace objects, 0(0B) LOS objects, 40% free, 8MB/14MB, paused 169us total 127.110ms
07-21 20:00:56.862 15386 15403 I vision.svplaye: Background concurrent copying GC freed 196460(6MB) AllocSpace objects, 0(0B) LOS objects, 40% free, 8MB/14MB, paused 207us total 126.782ms
07-21 20:00:58.679 15386 15403 I vision.svplaye: Background concurrent copying GC freed 195738(6MB) AllocSpace objects, 0(0B) LOS objects, 40% free, 8MB/14MB, paused 146us total 125.759ms
07-21 20:01:00.496 15386 15403 I vision.svplaye: Background concurrent copying GC freed 193448(5MB) AllocSpace objects, 0(0B) LOS objects, 40% free, 8MB/14MB, paused 167us total 127.019ms
07-21 20:01:02.368 15386 15403 I vision.svplaye: Background concurrent copying GC freed 191357(5MB) AllocSpace objects, 0(0B) LOS objects, 40% free, 8MB/14MB, paused 195us total 128.974ms
07-21 20:01:04.236 15386 15403 I vision.svplaye: Background concurrent copying GC freed 192991(6MB) AllocSpace objects, 1(20KB) LOS objects, 40% free, 8MB/14MB, paused 178us total 123.398ms
07-21 20:01:06.164 15386 15403 I vision.svplaye: Background concurrent copying GC freed 191956(6MB) AllocSpace objects, 0(0B) LOS objects, 40% free, 8MB/14MB, paused 171us total 131.465ms
07-21 20:01:08.045 15386 15403 I vision.svplaye: Background concurrent copying GC freed 191820(6MB) AllocSpace objects, 0(0B) LOS objects, 40% free, 8MB/14MB, paused 170us total 127.967ms
07-21 20:01:09.957 15386 15403 I vision.svplaye: Background concurrent copying GC freed 192455(6MB) AllocSpace objects, 0(0B) LOS objects, 40% free, 8MB/14MB, paused 177us total 125.092ms
07-21 20:01:11.876 15386 15403 I vision.svplaye: Background concurrent copying GC freed 191595(5MB) AllocSpace objects, 0(0B) LOS objects, 40% free, 8MB/14MB, paused 146us total 131.365ms
07-21 20:01:13.758 15386 15403 I vision.svplaye: Background concurrent copying GC freed 192684(5MB) AllocSpace objects, 0(0B) LOS objects, 40% free, 8MB/14MB, paused 195us total 124.485ms
07-21 20:01:15.626 15386 15403 I vision.svplaye: Background concurrent copying GC freed 188057(5MB) AllocSpace objects, 0(0B) LOS objects, 40% free, 8MB/14MB, paused 158us total 125.438ms
07-21 20:01:17.546 15386 15403 I vision.svplaye: Background concurrent copying GC freed 192929(6MB) AllocSpace objects, 0(0B) LOS objects, 40% free, 8MB/14MB, paused 139us total 123.499ms
07-21 20:01:19.428 15386 15403 I vision.svplaye: Background concurrent copying GC freed 192565(5MB) AllocSpace objects, 0(0B) LOS objects, 40% free, 8MB/14MB, paused 154us total 124.343ms
07-21 20:01:21.346 15386 15403 I vision.svplaye: Background concurrent copying GC freed 191656(5MB) AllocSpace objects, 0(0B) LOS objects, 40% free, 8MB/14MB, paused 155us total 124.302ms
07-21 20:01:23.221 15386 15403 I vision.svplaye: Background concurrent copying GC freed 191357(6MB) AllocSpace objects, 0(0B) LOS objects, 40% free, 8MB/14MB, paused 175us total 126.229ms
07-21 20:01:25.077 15386 15403 I vision.svplaye: Background concurrent copying GC freed 192221(6MB) AllocSpace objects, 0(0B) LOS objects, 40% free, 8MB/14MB, paused 211us total 127.460ms
07-21 20:01:26.940 15386 15403 I vision.svplaye: Background concurrent copying GC freed 192816(5MB) AllocSpace objects, 0(0B) LOS objects, 40% free, 8MB/14MB, paused 2.013ms total 133.682ms
07-21 20:01:28.751 15386 15403 I vision.svplaye: Background concurrent copying GC freed 191893(5MB) AllocSpace objects, 0(0B) LOS objects, 40% free, 8MB/14MB, paused 306us total 123.966ms
07-21 20:01:30.529 15386 15403 I vision.svplaye: Background concurrent copying GC freed 195390(6MB) AllocSpace objects, 0(0B) LOS objects, 40% free, 8MB/14MB, paused 160us total 130.521ms
07-21 20:01:32.296 15386 15403 I vision.svplaye: Background concurrent copying GC freed 195189(5MB) AllocSpace objects, 0(0B) LOS objects, 40% free, 8MB/14MB, paused 149us total 127.164ms
07-21 20:01:34.063 15386 15403 I vision.svplaye: Background concurrent copying GC freed 195097(5MB) AllocSpace objects, 0(0B) LOS objects, 40% free, 8MB/14MB, paused 162us total 125.456ms
07-21 20:01:35.830 15386 15403 I vision.svplaye: Background concurrent copying GC freed 195225(5MB) AllocSpace objects, 0(0B) LOS objects, 40% free, 8MB/14MB, paused 278us total 124.204ms
07-21 20:01:37.606 15386 15403 I vision.svplaye: Background concurrent copying GC freed 196544(6MB) AllocSpace objects, 0(0B) LOS objects, 40% free, 8MB/14MB, paused 170us total 126.954ms
07-21 20:01:39.423 15386 15403 I vision.svplaye: Background concurrent copying GC freed 193529(5MB) AllocSpace objects, 1(20KB) LOS objects, 40% free, 8MB/14MB, paused 173us total 124.394ms
07-21 20:01:41.315 15386 15403 I vision.svplaye: Background concurrent copying GC freed 191616(5MB) AllocSpace objects, 0(0B) LOS objects, 40% free, 8MB/14MB, paused 177us total 144.014ms
07-21 20:01:43.132 15386 15403 I vision.svplaye: Background concurrent copying GC freed 191482(6MB) AllocSpace objects, 0(0B) LOS objects, 40% free, 8MB/14MB, paused 140us total 138.882ms
07-21 20:01:44.974 15386 15403 I vision.svplaye: Background concurrent copying GC freed 192504(6MB) AllocSpace objects, 0(0B) LOS objects, 40% free, 8MB/14MB, paused 166us total 130.055ms
07-21 20:01:46.858 15386 15403 I vision.svplaye: Background concurrent copying GC freed 192862(5MB) AllocSpace objects, 0(0B) LOS objects, 40% free, 8MB/14MB, paused 177us total 147.818ms
07-21 20:01:48.667 15386 15403 I vision.svplaye: Background concurrent copying GC freed 191626(6MB) AllocSpace objects, 0(0B) LOS objects, 40% free, 8MB/14MB, paused 225us total 126.235ms
07-21 20:01:50.434 15386 15403 I vision.svplaye: Background concurrent copying GC freed 196268(6MB) AllocSpace objects, 0(0B) LOS objects, 40% free, 8MB/14MB, paused 136us total 126.451ms
07-21 20:01:52.209 15386 15403 I vision.svplaye: Background concurrent copying GC freed 195381(6MB) AllocSpace objects, 0(0B) LOS objects, 40% free, 8MB/14MB, paused 119us total 127.475ms
07-21 20:01:54.018 15386 15403 I vision.svplaye: Background concurrent copying GC freed 195279(5MB) AllocSpace objects, 0(0B) LOS objects, 40% free, 8MB/14MB, paused 146us total 142.422ms
07-21 20:01:55.789 15386 15403 I vision.svplaye: Background concurrent copying GC freed 196132(6MB) AllocSpace objects, 0(0B) LOS objects, 40% free, 8MB/14MB, paused 166us total 135.061ms
07-21 20:01:57.555 15386 15403 I vision.svplaye: Background concurrent copying GC freed 195003(5MB) AllocSpace objects, 0(0B) LOS objects, 40% free, 8MB/14MB, paused 136us total 127.753ms
07-21 20:01:59.342 15386 15403 I vision.svplaye: Background concurrent copying GC freed 193783(6MB) AllocSpace objects, 0(0B) LOS objects, 40% free, 8MB/14MB, paused 217us total 130.969ms
