--------- beginning of main
07-15 01:07:12.776 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203883(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 194us total 234.766ms
07-15 01:07:15.162 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204822(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 221us total 237.366ms
07-15 01:07:17.565 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205166(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 257us total 240.403ms
07-15 01:07:19.964 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206173(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 194us total 238.786ms
07-15 01:07:22.370 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205968(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 217us total 241.985ms
07-15 01:07:24.781 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206212(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 200us total 249.452ms
07-15 01:07:27.191 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207679(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 212us total 251.239ms
07-15 01:07:29.526 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202851(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 190us total 239.625ms
07-15 01:07:31.908 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205780(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 158us total 237.074ms
07-15 01:07:34.295 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206184(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 225us total 248.804ms
07-15 01:07:36.663 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204511(6MB) AllocSpace objects, 1(20KB) LOS objects, 21% free, 21MB/27MB, paused 194us total 238.749ms
07-15 01:07:39.040 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205028(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 223us total 256.792ms
07-15 01:07:41.427 17906 17920 I vision.svplaye: Background concurrent copying GC freed 208415(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 211us total 256.087ms
07-15 01:07:43.802 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206228(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 189us total 247.690ms
07-15 01:07:46.116 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202560(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 204us total 242.009ms
07-15 01:07:48.493 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204370(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 199us total 249.031ms
07-15 01:07:50.881 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207943(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 200us total 249.858ms
07-15 01:07:53.277 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207664(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 203us total 249.834ms
07-15 01:07:55.659 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207540(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 217us total 243.572ms
07-15 01:07:58.038 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205842(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 215us total 250.919ms
07-15 01:08:00.403 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206367(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 173us total 242.637ms
07-15 01:08:02.769 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205308(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 168us total 230.761ms
07-15 01:08:05.150 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204661(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 308us total 245.433ms
07-15 01:08:07.536 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207817(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 418us total 241.796ms
07-15 01:08:09.922 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206614(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 215us total 247.783ms
07-15 01:08:12.284 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205827(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 160us total 235.470ms
